full_text,class
todo bien,positivo
por que la atencion es buena,positivo
no hubo mucha demora en la atencion,positivo
porque la atencion fue rapida y no tuve ningun tipo de inconvenientes,positivo
la atencion en el caso de la ventanilla fue rapida  en el caso de la plataforma hubo que esperar pero todos los modulos estaban atendiendo y una vez que fui atendido la atencion fue rapida y eficaz,positivo
porque no hubo mucha cola ademas la atencion fue muy cordial y los trabajadores son respetuosos,positivo
por la buena atencion,positivo
me atendieron rapido y bien,positivo
atencion rapida,positivo
atencion rapida y solucionan todas mis dudas y me dan soluciones rapidas a mis problemas economicos,positivo
rapidez y amabilidad,positivo
por que me ayudaron a cancelar definitivamente la tarjeta de credito de america express que tenia,positivo
me brindaron la informacion correcta sobre mi operacion,positivo
buena atencion,positivo
buena atencion,positivo
por la rapidez con q me atendieron,positivo
porque me atendieron bien y solucionaron mi problema,positivo
por la amabilidad en el trato,positivo
alguno de los cajeros no funcionaban y esto crea colas,positivo
todas las veces que e requerido de algun servicio e sido rapidamente atendido y con mucha cordialidad por el personal,positivo
la atencion fue rapida y muy clara y profesional,positivo
por mi sectorista es muy atenta,positivo
me atendieron rapido y cordial,positivo
me atendieron muy rapido y la ejecutiva fue muy amable,positivo
por que la funcionaria rosina de banca pequeña empersa nos dio un buen servicio,positivo
resolvieron mi inquietud,positivo
por la atencion y por que no habia mucha gente,positivo
por la atencion recibida porque a pesar de tener abonos pendientes  aceptaron muy gustosamente la amortizacion lo que me dio tranquilidad y confianza para poder seguir cumpliendo con mis compromisos pactados con la entidad el personal fue demasiado atento muy cordial  en todo momento  gracias,positivo
la atencion muy rapida,positivo
es una agencia pequeña pero me atendieron relativamente rapido,positivo
tuvieron mucha paciencia para explicarme cosas que no entendia,positivo
por ser atendido muy bien,positivo
la señorita fue muy cortez y me sugirio afiliarme a un seguro,positivo
porque me atendio rapidamente el asesor y fue amable,positivo
por muy atencion al cliente,positivo
rapides en la atencion,positivo
porque la atencion del personal es buena y fue rapida,positivo
la  atencion fue buena ademas me aclararon las dudas,positivo
por que dan una buena informacion,positivo
fui atendido de manera eficiente rapida y sobretodo me dieron la confianza de siempre,positivo
buena atencion,positivo
cumplio mis expectativas de atencion,positivo
porque fue rapida la atencion y efectiva,positivo
xq me atendieron con rapidez y mucha dedicacion,positivo
pude realizar mi operacion en un tiempo aceptable,positivo
me atendieron rapido  y me absolvieron las preguntas requerida por parte de los colaboradores del banco,positivo
buena atencion me atendieron  correctamente y de manera rapida y precisa,positivo
todo k,positivo
muy amable y rapido,positivo
el peor banco del peru porque te engañan por telefono con respecto a la membresia no quieren que anules  tu tarjeta de credito y despues te obligan a pagar membresia ya presente mi queja a indecopi  pero se no pasara nada,positivo
me dieron solucion al problema  buena atencion por parte de la srta  fue rapida  eficaz  buena disposicion,positivo
atencion rapida y aprobacion credito en linea,positivo
x la atencion rapida,positivo
por la calidad en el servicio rapidez y atencion a mi solicitud,positivo
atencion fue rapida,positivo
porque me explicaron muy bien y laatencion rapida,positivo
me encuentro satisfecho por la atencion eficiente y agradable,positivo
atencion rapida y solucion de mis problemas,positivo
rapidez,positivo
buena atencion y rapidez,positivo
me atendieron correctamente,positivo
porque fui atendido de manera rapide y eficientemente,positivo
atencion muy rapida y ambiente alegre,positivo
me atendieron pronto y me ayudaron con mis consultas y solicitudes,positivo
por la muy buena atencion vrindada y la ayuda,positivo
porque la atencion fue rapida y brindaron la informacion que necesitaba,positivo
ppr la atencion personalizada en mi caso x cliente exclusivo,positivo
atencion muy cordial y rapida,positivo
la atencion fue rapida y cordial,positivo
porque encontre la agencia sin gente y la atencion fue inmediata cero tiempo de espera,positivo
fue perfecto,positivo
porque a pesar de que la agencia es pequeña y congestionada de clientes el personal se preocupa por dar un buen servicio da la bienvenida orienta al publico distribuye bien las colas,positivo
porque me atendieron rapido no hubieron muchas personas siempre valoro el hecho de llegar al banco y que no haya muchas colas,positivo
la atencion fue muy buena me ayudaron en varias incognitas mas no en la solicitud de un prestamo debido a mi edad,positivo
la señorita que me atendio fue amable y me ayudo rapido con mi tarjeta,positivo
porque ese es mi grado de satisfaccion,positivo
la atencion fue rapida,positivo
por la buena atencion,positivo
tiempo y atencion ,positivo
atencion rapida y eficiente,positivo
fue rapida y eficaz,positivo
xke me atendio una buena srta k me atendio mui bien,positivo
por la atencion brindada rapidez y muy practico,positivo
bien,positivo
buena atencion,positivo
la atencion fue inmediata no obstante ser una agencia pequeña,positivo
la señorita de ventanilla fue paciente y me dio un buen trato,positivo
por la rapidez de la atencion,positivo
atencion rapida,positivo
por que el asesor fue claro con mi solicitud,positivo
buena y rapidez en la atencion,positivo
el cajero que me atendio fue muy correcto educado y sonreia fue muy rapida mi atencion,positivo
la atencion fue muy cortez,positivo
porque gracias a que soy de banca exclusiva me atendieron rapido,positivo
atencion rapida y eficiente,positivo
exelente atencion,positivo
muy buena la atencion del representante marco ludeña asesor de esa oficina soluciono mi inconveniente,positivo
siempre que hago mis operaciones me atienden con mucha amabilidad de forma rapida con ganas de regresar,positivo
la señorita gordita de plataforma que me ayudo fue una persona muy amable,positivo
la persona que me atendio fue profecional y amable,positivo
por q el personal q me atendio fue muy amable,positivo
porque estuve haciendo cola y en ese momento pasaba un trabajador del bcp y me oriento que debia acercarme a plataforma para renovar mi tarjeta vencida la cual me la entregaron super rapido muy aparte me gusto la amabilidad que tuvieron en atenderme  el tiempo ahora es super importante espero haber ayudado,positivo
el agente jimmy pajuelo me brindo una atencion nuevamente oportuna y cordialmente el pedido,positivo
por que laatencion que me dieron cumplio todas mis espectativasla srta que me atendio no dejo ningunaduda en mi y recibi de ella toda la ayuda que necesitaba,positivo
por la amabilidad de la srta que me atendio y la solucionde mis problemas y buena orientacion,positivo
porque me trataron con amabilidad y respeto y de forma eficiente y rapida,positivo
por darme satisfaccion en todo lo q queria saber,positivo
le dieron solucion a mi pedido de cambio de tarjeta que se encontraba vencido y la atencion fue cordial,positivo
porque el deposito que hice fue en dolares y me estaban considerando soles,positivo
por la rapidez el la atencion,positivo
muy buena la atencion muy amable y con mucha actitud positiva,positivo
por la calidad de atencion,positivo
buena atencion,positivo
por su profesionalismo y rapidez,positivo
me atendieron  rapido  bueno  fui  temprano pero  resolvieron  mi  problema  rapido  y  con  amabilidad  y  sobre  todo  consideracion ,positivo
atencion rapida,positivo
muy buenalaatencion de los trabajadores,positivo
la atencion fue cordial y efectiva,positivo
por que me han atendido rapido y  con mucha atencion,positivo
rapidez en la atencion,positivo
por su atencion,positivo
por que la señorita que me atendio fue muy amable y sabe tratar al cliente,positivo
las personas que nos atienden son muy amables,positivo
por la buena atencion del asesor y sus propuestas dadas hacia mi persona ,positivo
una srta me oriento y me comunico mediante un telefono para absolver con una consulta de mi tarjeta de credito,positivo
por la atencion brindada,positivo
bueno al ser cliente vex hay rapidez en la atencion,positivo
no funcionaba el cajero automatico,positivo
siempre salgo conforme por su atencion fluida y satisfecho por su atencion,positivo
solo fue un pago rapido en ventanilla,positivo
por la muy buena atencion que me brindaron en plataforma,positivo
rapidez,positivo
atencion rapida y respetuosa,positivo
atencion amable y atenta,positivo
atendieron mis requerimientos,positivo
por la cordial atencion,positivo
el cajero para depositar esta en mantenimiento desde hace muchas semanas,positivo
por que los guias de agencia son excelentes,positivo
la atencion rapida y agil,positivo
la atencion e informacion fue clara y la amabilidad y proactividad fue buena,positivo
atencion y buen trato al cliente  te resuelven todas las dudas,positivo
por la atencion brindada x el personal del banco personas amables y eficases,positivo
la guia fue muy amable sonriente y atenta me explico sobre las cuentas y en plataforma tambien me ayudaron,positivo
porque me despejaron todas las dudas que tenia y la atencion fue muy amable,positivo
fui puntual en lo que queria me dieron la exacta informacion que queria sin tanto rodeos gestione mi tarjeta rapidisimo miy atenta la seorita que me atendio,positivo
la atencion de la persona,positivo
las personas que me atendieron fueron muy amables sra milagros y el cajero sr que no sesu nombre cubrieron todas mis operaciones a satisfaccion mia,positivo
buena atencion,positivo
ola por que fue una buena atecion al cliente y que trabajamos juntos para un bienestar en ambas partes y asi llevar una vida adecuada gracias bcp por confiar en mi,positivo
la asesora se tomo un largo tiempo pero me explico claro y presiso,positivo
la atencion fue oportuna y el breve plazo,positivo
me atendieron bien,positivo
fue una atencion muy rapida,positivo
atencion rapida,positivo
buena atencion si n demora,positivo
porque me atendieron bien y muy amablemente,positivo
la atencio es muy eficiente,positivo
trato muy amable servicial,positivo
me atendio muy attela janni montoyame sientomuy satisfecha,positivo
por la atencion que me brindo la señorita de plataforma despejando mia dudas ,positivo
muy buena atencion y rapida,positivo
me atendieron bien,positivo
porque me atendieron rapido gracias a la tarjeta con la que cuento ademas la señorita que me atendio fue muy amable y asi de rapido me atendio,positivo
tuve que esperar un poco por que estaba atendiendo a un señor q no era cliente,positivo
atencion rapida y precisa banca exclusiva,positivo
me atendieron muy bien,positivo
consulte por una cuenta y me dijeron que si hay solucion,positivo
por que fue super rapida y la buena atencion,positivo
me atendieron rapido,positivo
la atencion fue muy rapida,positivo
excelente atencion muy cordial la comunicacion,positivo
muy buena atencion del promotor,positivo
porque la atencion del promotor cristhian matos es a muy proactivo,positivo
la atencion fue amable y rapida no hice mucha cola,positivo
rapida atencion y amabilidad de la cajera,positivo
me atendieron amablemente y pude hacer los pagos que necesitaba,positivo
por su buena atencion y explicacion sobre el servicio que solicite y su confianza claro esta gracias,positivo
por que me brindaron muy buena atencion,positivo
por la atencion que no tuve que hacer mucha cola,positivo
atencion rapida y amable el local cuenta con estacionamiento,positivo
la srta que me atendio fue muy amable y me dio ademas la informacion requerida con precision conoce el tema,positivo
la atencion fue rapida ,positivo
por fui atendida con mucha amabilidad y rapido no espere,positivo
la actitud positiva proactiva de la ejecutiva que me atendio en forma atenta y rapida,positivo
porque la atencion es excelente empleados muy correctos educados preocupados en que el cliente siempre este satisfecho utilizo frecuentemente esa agencia y la de chosica y siempre  salgo contenta con la atencion que rwcibo,positivo
porque siendo cliente del banco hice cola por  minutos mas o menos,positivo
atencion rapida,positivo
el trato es muy excelente,positivo
porque siempre me reciben con una buena atencion,positivo
por lo atento y amsbles que son,positivo
las muchachas que atienden ahi son muy atentas siempre me trato sentar con la señora claudia,positivo
entrega rapida y cero colas para deposital en ventanilla,positivo
rapido me atendieron,positivo
la atencion es buena y rapida,positivo
por el conocimiento que tiene la srtacarolina para asesorar y solucionar los problemas,positivo
el cajero que me atendio fue muy amable,positivo
el personal siempre esta atento,positivo
como cliente bex no esperè mucho,positivo
me atendieron rapido y el sr de la caja fue muy amable,positivo
la atencion y la oportunidad del servicio es unico y excelente en comparacion de otras instituciones similares el personal es muy atento y respetuoso prestos a solucionar algun problema personal que se requiere el horario de atencion es puntual las instalaciones adecuadamente ubicadas buena luminosidad aireacion constante ademas la limpieza excelente el personal de seguridad desde la entrada son atentos y orientadores  ,positivo
porque vi al personal muy atento desde la entrada hasta en ventanilla,positivo
atencion rapida,positivo
x q el personal brinda mur buena atension y rapida,positivo
el grifo no tenia vuelo de s y pude depositar a mi cuenta y luego sacar solo s,positivo
buena atencion,positivo
por que hice mi tramite rapido,positivo
atencion rapida,positivo
atencion y la rapidez con la cual me atendieron me gusta ,positivo
me ayudaron a solucionar mi inquietud y a realizar el pago de mi tarjeta de credito,positivo
espere un n poco para que me atendieran,positivo
porque me atendiero bien y con buenos animos,positivo
la señorita fue muy amable al brindarme las opciones que necesitaba para abrir una nueva cuenta y aconsejandome las mas adecuada para mi caso,positivo
por el buen trato de su personal,positivo
son atentos serviciales orientan al publico y brindan una atencion rapida,positivo
desde la entrada el de seguridad me ayudo a ver mi saldo  pregunte para retirar me indicarony la ejecutiva  me atendio con respeto y consideracionresolvio mis preguntas,positivo
excelente atencion cordial muy rapido,positivo
la atencion es buena pero el tiempo de espera es demasiado ya que solo hay dos o tres personas atendiendo por lo general,positivo
la atencion rapida y personalizada,positivo
debido a la atencion brindada ya que fue buena y cordial de parte de la anfitriona,positivo
buena atencion y bastante rapida por ser cliente preferente pero el banco estaba muy lleno de gente casi al punto de exceder el aforo,positivo
fui atendida muy bien,positivo
amabilidad y rapidez,positivo
dado la profesionalidad y amabilidad en el servicio recibido,positivo
me atendieron atentamente con prontitud y y realice el tramite para el cual habia ido al banco,positivo
por la rapidez para abrir una cuenta,positivo
ingrese y no habia cola pase directo a la ventanilla un señorita muy amable me atendio y sali en  minutos,positivo
porque necesitaba la informacion adecuada y me la brindaron,positivo
atendieron a todas mis consultas,positivo
por que me dieron una buena informacion,positivo
la persona encargada de la atencion en mi caso en plataforma me brindo solucion de manera rapido y eficaz,positivo
la atencion fue rapida,positivo
porque me atenderion rapido y cajero fue amable conmigo,positivo
x q te atienden bien y rapido,positivo
porque solucionaron mi problema muy rapido,positivo
la atencion fue muy b uena y rapida,positivo
la atencion fue inmediata dieron respuesta a mis solicitudes y el personal es muy amable,positivo
por la atencion al cliente el servicio de la ejecutiva que me atendio el trato amable desde que uno entra y el interes que demostro la ejecutiva a cualquier inquietud mia,positivo
no habia nadie esperando y me atendieron rapido,positivo
la atencion es muy buena,positivo
porque se atendieron mis consultas,positivo
no hubo colas,positivo
porque me atendieron muy bien y brindaron un buen servicio rapido y eficiente,positivo
la atencion fue bastante rapida y buena,positivo
me atendieron rapido,positivo
fui bien atendido,positivo
tuve una buena atencion rapida y eficiente,positivo
fue la atencion inmediata conforme,positivo
fui a renovar mi tarjeta de debito y fui atendido rapido y sin mayores dificultades,positivo
la amabilidad mostrada por el personal de ventanilla y la persona que orienta al usuario,positivo
la atencion fue rapida y no tuve ningun problema,positivo
excelente atencion,positivo
atencion rapida y atenta,positivo
la atencion fue rapida porque estoy en banca exclusiva,positivo
me atendieron bien y solucionaron mis dudas,positivo
me dieron informacion precisa y clara,positivo
por que la atencion fue rapida y eficaz,positivo
me atendieron rapido,positivo
por la atencion al cliente y la profesionalidad,positivo
me atendieron normalmentebien,positivo
la atencion fue rapida muy amable la señorita que tuvo la iniciativa de atender rapido a pesar de no contar con ticket de atencion por que fui solo a preguntar no pense que iba a ser todo tan rapido y tan efectivo,positivo
muy buena la atencion,positivo
atencion rapida,positivo
totalmente satisfecho,positivo
por la buena y rapida atencion recibida por el personal de la agencia,positivo
por el excelente servicio y orientacion de las areas,positivo
me atendieron rapido y habia poco publico sin colas,positivo
para mi estuvo bien pero en el segundo piso a veces se demoren en etander pienso que deberian haber asientos,positivo
me ayudaron con los requerimientos e inquietudes que tuve,positivo
buena informacion  buena atencion,positivo
los empleados estaban muy entusiastas y atento usando la camiseta de nuestra seleccion,positivo
porque fue muy atento y cordial el joven paciente con mis consultas y respondio a todas sin problemas,positivo
buen trato y agil atencion,positivo
tenia inconvenientes con mi tarjeta me explicaron el porque me dio alternativas la señorita y me dio una solucion,positivo
eficiencia y amabilidad de la señorita que me atendio en la ventanilla preferencial,positivo
por su magnifica atencion fue muy amable y su atencion fue rapida,positivo
por la rapides de su atencion y amabilidad,positivo
por la atencion en ventanilla,positivo
por el buen trato y la paciencia que tienen,positivo
porque orienta a la personas k no saben como hacer un desembolso,positivo
por la rapida atencion,positivo
buen trato y rapido,positivo
porque la atencion es rapida y cuando tuve  una duda fueron de frente al punto y en una forma concisa y clara,positivo
obtuve lo que requeria en ese momento,positivo
atencion rapida y cordial,positivo
por que el cajero se quedo con mi tarjeta y automaticamente llame a un personal que esta para ayudar me guio y pude volver a tener mi tarjeta en poco menos de  min,positivo
porque un joven muy gentil de ventanilla  me ayudo con una transaccion mediante un cajero y me explico de como puedo hacer el pago de mi tarjeta de credito con una debito la verdad no tenia el conocimiento y ahora para mis proximas operaciones lo hare desde un cajero y ya no estar haciendo cola para ventanilla y por ello quede muy satisfecha,positivo
fui atendida en el pago de mi tarjeta de credito american express,positivo
porque el personal ha respuesto a todas mis necesidades y indesiciones,positivo
fue una atencion rapida,positivo
por la prontitud y la buena atencion del personal calificado,positivo
rapidez habia poca gente,positivo
fui en el horario de las  am  apenas abrieron el establecimiento fui atendida muy rapidamente por el personal de ventanilla  en la cual me atendio muy bien  gracias,positivo
la atencion fue rapida me dieron las indicaciones debidas en plataforma y mis dudas quedaron claras,positivo
porque dieron solucion a mi pedido con rapidez,positivo
porque su atencion que recibo en el banco bcp en todassus agencias su atencion es de primera y nunca he tenido ningun tipo de  una mala informacion ademas las veaces que he llamado por telefono la atencion de las señoritas es de primera me gustaria que simpre continuen asi y que no cambien en su atencion muchos exitos y felicitaciones   otro  me gustaria que me incrementen mi credito,positivo
muy amable la srta que me atendio  rapidez de la transaccion,positivo
buenas noches me atendieron de inmediato al inicio luego en la caja demoraron un poco y despues en plataforma fue todo en orden,positivo
me atendieron rapido solo aconsejaria que la srta brinde una sonrisa en su atencion,positivo
amables y atencion rapida,positivo
fue rapido mi atencion con el  joven,positivo
por el lado de la atencion  no me quejo es por la flexibilidad al no exonerarme mi membresia a pesar de a ver consumido mas de la cuota sin embargo por no consumir en  meses  me lo denegaron apestar de que soy muy puntual en mis pagos,positivo
rapidez y buena atencion en ventanilla,positivo
muy buena atencion,positivo
porque brinda seguridad y tranquilidad asimismo todo es muy ordenado lo cual agiliza las operaciones,positivo
me atendieron super ,positivo
tuve una buena atencion y orientacion,positivo
porque la atencion fue rapida y ordenada,positivo
la persona que me atendio en ventanilla en el er piso fue muy amable la atencion fue rapida,positivo
por k me atendieron muy bien,positivo
atencion rapida,positivo
me atendieron bien y rapido,positivo
porque fui atendido con diligencia y prontitud,positivo
muy atenta la srta de plataforma,positivo
atencion rapida y eficaz por parte del cajero,positivo
la atencion es amable y rapida,positivo
muy buena atencion  desde la gerente de agencia hasta cajeros,positivo
cuando entre al banco no habia nadie que me diga a donde dirigirme asi que me acerque a preguntar a un chico y este me atendio muy amablemente,positivo
buena atencion,positivo
la atencion fue amable  eficiente y eficaz,positivo
porque me ofrecieron un buen producto con todas las facilidades y alternativas,positivo
rapidez,positivo
la atencion fue muy buena,positivo
local del cajero automatico limpio iluminado seguro,positivo
fue muy rapida la atencion,positivo
la atencion fue rapida y cordial,positivo
la señorita guendy reyes me atendio muy coordialmente y me ayudo a tomar la mejor decision para mi credito personal es una excelente colaboradora,positivo
por recibir con prontitud lo solicitado,positivo
la atencion brindada fue rapida y el personal muy amable,positivo
ago un deposito super rapido   no ice cola,positivo
por que fui atendido de la manera y forma correcta amabilidad y rapidez,positivo
son muy amables serviciales amenos y rapidos,positivo
la atencion fue calidarapida,positivo
porque me atienden muy bien y no me hacen esperar,positivo
la señorita evdelyn franco me atendio muy bien,positivo
soy cliente recurrente de la agencia la atencion al cliente desde el saludo al sr de seguridad pasando por la srta que se encuentra para guiarnos y los chicos y chicas del counter para mi es muy importante siempre atentos y dispuestos a a ayudarnos,positivo
muy buena la atencion,positivo
por que no demore mucho y pude hacer lo que tenia planeado gracias a los trabajadores,positivo
x la atencion inediata ya k en la de minka pecimo ise cola x nada,positivo
amablemente atendido pero comente una necesidad y me detuvo a mi sectorista,positivo
absolvieron mis dudas,positivo
el chico de atencion al cliente fue muy cortez denle un aumento de salario,positivo
atencion rapida,positivo
fui a comprar una nueva clave toquen   me explicaron sobre su funcionamiento y fueron muy amables,positivo
x q si,positivo
or l atencion rapida y amable de la señorita de plataforma que me atendio,positivo
porque la atencion fue rapida y a pesar de que habia bastante publicoel empleado atendia rapido y muy amablemente,positivo
la atencion fue rapida,positivo
porque la atencion fue rapida,positivo
rapido,positivo
la atencion fue rapida,positivo
la atencion del personal fue muy amable la cola demoro unos minutos mas de lo que supuse,positivo
la atencion fue optima,positivo
porque hubo una excelente atencion por parte del cajero quien supo resolver mis dudas,positivo
la atencion fue muy buena y cordial absolvieron todas mis dudas en ese momento,positivo
todo estuvo bien,positivo
consegui lo que necesitaba y la atencion fue rapida,positivo
rapidez y eficiencia en la atencion,positivo
porque me atendieron super bien,positivo
por el buen servicio recibido en la solicitud de un credito personal informacion oportuna y amabilidad,positivo
buen tiempo de atencion,positivo
buena atencion y amable,positivo
las personas que atienden  en ventanilla son eficientes  pro activos y sobre todo muy educados y con mente positivo dandole solucion a cualquier inconveniente,positivo
tuve una buena atencion y fue rapida,positivo
la atencion fue rapida sin demoras el personal que atendio lo hizo con agilidad,positivo
me atendieron de una manera muy cordial y profesional respondieron todas las dudas que tenia acerca de la cuenta que queria abrir,positivo
rapidez en la atencion seguridad de las instalaciones orden y limpieza,positivo
por que me atendieron de manera oportuna e incluso un caballero se ofrecio orientarme hacer la operacion de deposito en un cajero automatico,positivo
por que me dieron una atencion que me puso muy satisfecho,positivo
el asesor que me atendio fue amable y resolvio todas mis dudas,positivo
explicacion del producto completo solo falto docuentcion de  beneficios y condiciones,positivo
la atencion fue muy cortez,positivo
por la atencion rapida que me brindaron  y la orientacion que me brindo la persona que me atendio,positivo
atencion oportuna  agil y orientada,positivo
por que estaba con mi niño y no se acercaron a brindarme o preguntar que deseaba para tener una atencion rapida,positivo
no demoro mucho mi estadia y la atencion fue correcta,positivo
una atencion personalizada  hasta encontrar solucion al pedido,positivo
en el horario que fui no tuve qu esperar y me atendieron inmediatamente,positivo
por que no hubo mucha demora en la atencion,positivo
si,positivo
muy aparte de la operacion bancaria que realice hice otra consulta  y la respuesta fue muy convincente,positivo
el sr que me atendio fue muy amable  explico muy bien todos los terminos y condiciones de mi tramite,positivo
la persona de la ventanilla fue muy amable y me atendio rapido,positivo
porque la srta que me atendio fue muy amable y certera con el apoyo que me brindo muy eficiente,positivo
porque la atencion prestada fue muy buena gracias,positivo
por la atencion brindada,positivo
la atencion del personal es muy amable,positivo
no hay colas poca gente,positivo
cero colas buena y rapida atencion,positivo
la rapidez de la atencion,positivo
fue rapida la atencion,positivo
buena atencion en la ventanilla bex,positivo
por la buena atencion,positivo
la atencion es muy buena y rapida,positivo
poca gente poca espera,positivo
por que quise saber cual era mi cuenta es decir cual era mi cuota mensual minima para realizar mi pago por cuanto no tenia el estado de cuenta no me pudieron servir o no tenian acceso a la informacion porque lleve solo la parte de mi cuota mensual que siempre abono pero se habia incrementado  soles mas cuando quise saber por que no me supieron darme razon tuve que pagar y no se porque pague mas,positivo
la señorita fue amable paciente simpatica y se dio a entender completamente bien siendo la primera vez que me acercaba sola fue una experiencia bastante gratificante,positivo
atencion rapida,positivo
existe un ambiente calido,positivo
esta vez no encontre mucho publico,positivo
muy buena atencion,positivo
porque el trato fue muy cordial y logre concretar el tramite por el cual habia ido,positivo
por la atencion del sr de ventanilla me explico mi forma de pago de mis creditos,positivo
eldia de hoy la atencion fue bastante rapida y agradable,positivo
muy buena atencion y dieron solucion a mi problema,positivo
la buena atencion fue buena las recomendaciones y me guiaron con mucho respeto fueron muy atentos,positivo
dddd,positivo
buen trato y rapidez,positivo
muy buena atencion de area de plataforma,positivo
he logrado realizar mis gestiones a tiempo y con satisfaccion,positivo
todo ok con el servicio,positivo
muy buena la atencion,positivo
fueron rapidos y eficaces,positivo
siempre que voy al bcp plataforma de  de mayo si y me ayuda el sr flores quedo completamente satisfecha esta en todas es rapido ya que sabe muy bien su trabajo es una gran ayuda gracias,positivo
son muy amables,positivo
porque el joven que me  atendio no se demoro mucho y me trato muy amable,positivo
la atencion fue buena eficiente y rapida muchas gracias,positivo
por la buena atencion que me brindaron,positivo
buscaba una atencion muy rapida y lo consegui,positivo
porque la atencion fue rapida y la cajera muy amable,positivo
xq respondieron a mi pregunta,positivo
atencion amable y cordial,positivo
porque estaba confundido si hacer cola para las ventanillas o sentarme a esperar mi turno para pasar por las bancas tenia que abrir una cuenta consulte al vigilante y me dirigio a las bancas luego me atendieron muy rapido y amablemente,positivo
rapida atencion,positivo
la atencion fue excelente del cajero como del promotor gustavo,positivo
fueron muy cordiales y rapidos en la atencion muy buen trato,positivo
porque la cola de usuarios avanza mas rapido que la de clientes,positivo
la atencion que brindan es muy buena y clara,positivo
porque no tuve que esperar mucho,positivo
porque me dieron una informacion acerca de una pregunta que estaba buscando ser resulta hace tiempo,positivo
estaba vacio y me atendieron rapido,positivo
fue muy buena la atencion y mi requerimiento fue satisfecho por parte del ejecutivo,positivo
porque me atendieron de la mejor manera y la atencion fue rapida una muy buena amable atencion,positivo
utilice banca por telefono para presentar un reclamo la señorita fue muy cordial y demostraba que sabia del tema pero el tiempo entre consulta fue mucho casi  min,positivo
por la atencion rapida y cordial,positivo
la persona que me atendiò fue muy atenta y servicial,positivo
amabilidad y rapida atencion,positivo
fui atendida con rapidez y amabilidad tanto en plataforma como en ventanilla,positivo
por el trato del personal comenzando por el empleado que atiende en la entrada y siguiendo por el que orienta como hacer el tramite que se desea hacer y el personal de la ventanilla que atiende el caso concreto,positivo
atencion rapida y eficaz,positivo
simplemente que cuando realizo mis pagos utilizo el servicio con tarjetas  y la cola es super ràpida y las personas que atienden en ventanilla siempre son muy amables,positivo
por la atencion,positivo
porque me atendio de inmediato un joven llamado christian y pude realizar las gestiones que deseaba a la brevedad,positivo
la atencion brindada,positivo
porque siempre me atienden muy bien no tengo ningun problema,positivo
la atencion fue rapida y buena,positivo
por la amabilidad y atencion rapida de sus trabajadores,positivo
me trataron bien,positivo
una servidora me oriento y atendio de una manera preferente,positivo
por que su atencion fue rapida y  buena,positivo
fui temprano espere unos minutos y cuando vi que habian varios empleados desocupados y yo esperando pregunte si me podian atender y lo hicieron,positivo
porque el personal que me atendio respondio a todas mis preguntas sin manifestar alguna molestia aclaro cada duda y en caso tenga alguna otra duda o inconveniente me invito a acercarme sin algun tipo de problema siempre presto una actitud amable,positivo
buena atencion y rapidamente solucione mi inquietud,positivo
por la rapida atencion del agente,positivo
xq el asesor resolvio todas mis dudasy sustrato muy cortes,positivo
porque pude lograr lo que necesitaba de manera rapida y correcta,positivo
la atencion es buena y te dan salucion a cualquier problema,positivo
el sr valverde ofrecio la informacion adecuada ,positivo
me brindaron toda informacion que necesitaba y la atencion que esperaba no tuve ningun problema,positivo
aencion correcta y amable,positivo
 la srta cinthia almeida  que me atendio  fue muy cordial y amable  fue rapida en resolver mis tramites  y  despejo todas las dudas que tenia sobre mis tajetas y las comisiones que estas me cobraban,positivo
la atencion es rapida,positivo
me  dieron el servicio solicitado,positivo
la atecion muy amable y su eficiencia para solucionar mis problemas,positivo
por la atencion brindada por la sectorista,positivo
mucha cola,positivo
por la atencion de mi sectorista muy amable,positivo
por la atencion recibida muy buena,positivo
la atencion que recibi fue muy buena,positivo
me dieron una buena atencion y muy rapida,positivo
porque fui atendida  inmediatamente,positivo
porque la atencion fue muy agradable por parte del personal de ingreso al bcp y en ventanilla quede muy contento con su trato en dicha sede,positivo
buena atencion y rapido,positivo
xq la atencion es al toque,positivo
buena informacion y excelente atencion,positivo
la demora en la cola fue minima y mis dudas fueron resueltas,positivo
atencion rapida en plataforma sectorista conocia los detalles de lo solicitado y atendio a los requerido en ventanilla la persona que me  atendio dio la informacion que necesitaba,positivo
rapidez en la atencion,positivo
buen trato y atencion,positivo
la sra de orientacion muy atenta gracias,positivo
atencion rapida y personal educado,positivo
porque todo se dio a tiempo,positivo
por que me trataron muy bien,positivo
deberian haber mas modulos de atencion,positivo
me atendieron bien y rapido,positivo
la atencion fue rapida,positivo
porque resolvieron mis dudas y una srta encargada muy amable me atendio  facilitandome el tramite ,positivo
su atencion es mas eficiente,positivo
por que atienden rapido,positivo
la atencion  fue rapida y puntual,positivo
buena atencion y disposicion del ejecutivo,positivo
rapidez en la atencion,positivo
por que me atendieron satisfactoriamente las operaciones que fui a realizar,positivo
atencion rapida y cordiales,positivo
por su gran atencion,positivo
rapido,positivo
me atendieron rapido y bien,positivo
porque me atendieron muy bien,positivo
me atendieron muy cordialmente y no espere mucho a ser atendido,positivo
fue rapida y fueron amables,positivo
por su eficiencia   y  rapidez,positivo
porque el asesor me da confianza y me opsiones para sacar un prestamo,positivo
la atencion a adulto mayor estaba ocupada me llamaron de otra ventanilla y me atendieron de inmediato,positivo
